Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Item Number,Quantity,Description,Price,Discount,Total,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Order,Received,Billed,Location ID,Card ID,Record ID
Smithers MSE Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3033,16/09/2022,18462,,P,TC002,6,Slider 55 (TRL) Rubber Slider,$64.69,0%,$388.14,,,Purchase; Smithers MSE Limited,,N-T,$0.00,$53.47,N-T,$0.00,B,,,5,1,30,0,"$3,029.21",,,397,6,Location1,*None,2522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Post,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3025,23/09/2022,184175,,P,WC010,20,Pack-S Padded Satchel125x160mm,$1.12,0%,$22.4,,,Purchase; Australia Post,,GST,$2.24,$0.00,GST,$0.00,B,,,5,1,30,0,$24.64,,,21,20,Location1,*None,3854
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ebay,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3024,27/09/2022,16-09050-21626,,P,WSX009,2,Wessex Tortus 3 Charger Unit,$125.2,0%,$250.4,,,Purchase; ebay,,N-T,$0.00,$22.76,GST,$2.28,B,,,5,1,30,0,$275.44,,,6,2,Location1,*None,3510
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia Post,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3026,27/09/2022,445499,,P,WC012,11,Pack-L Padded Satchel265x380mm,$1.990909,0%,$21.9,,,Purchase; Australia Post,,GST,$2.19,$0.00,GST,$0.00,B,,,5,1,30,0,$24.09,,,10,11,Location1,*None,3854
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3036,30/09/2022,,,P,WC001,10,Superglue- Powerflex Gel Contr,$6.209,0%,$62.09,,,Purchase; Bunnings Warehouse,,GST,$6.21,$0.00,GST,$0.00,B,,,5,1,30,0,$68.3,,,11,10,Location1,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fortburn Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3043,05/10/2022,18461,,P,WSX003,2,Load Cell Assembly (Reconditio,$357.5,0%,$715,,,Purchase; Fortburn Pty Ltd,,N-T,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,$715,,,6,2,Location1,*None,3506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3067,05/10/2022,,,A,GA003,6,Dry Testing Microfibre Cloth,$2.725,0%,$16.35,,,Purchase; Bunnings Warehouse,,GST,$1.63,$0.00,GST,$0.00,B,,,5,1,30,0,$61.07,,,13,6,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3067,05/10/2022,,,A,WC021,1,WD10-275G,$8.08,0%,$8.08,,,Purchase; Bunnings Warehouse,,GST,$.81,$0.00,GST,$0.00,B,,,5,1,30,0,$61.07,,,6,1,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3067,05/10/2022,,,A,GA008,12,Trolly Base Cups - Large,$2.590833,0%,$31.09,,,Purchase; Bunnings Warehouse,,GST,$3.11,$0.00,GST,$0.00,B,,,5,1,30,0,$61.07,,,12,12,Location1,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3068,05/10/2022,,,A,WC014,40,Microfibre Clean Cloth- Multic,$.4545,0%,$18.18,,,Purchase; Bunnings Warehouse,,GST,$1.82,$0.00,GST,$0.00,B,,,5,1,30,0,$52.5,,,400,40,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3068,05/10/2022,,,A,GA026,10,Spray Bottle,$2.955,0%,$29.55,,,Purchase; Bunnings Warehouse,,GST,$2.95,$0.00,GST,$0.00,B,,,5,1,30,0,$52.5,,,6,10,Location1,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3047,07/10/2022,3685,,A,WL001,1,WammaLab Pendulum,"$5,644.29",0%,"$5,644.29",,,Purchase; Laboratorio de Resbaladicidad SL- Invoice dated 11/07/2022. $9.02 Freight Surcharge from the bank,,N-T,$0.00,$9.02,N-T,$0.00,B,,,5,1,30,0,"$6,628.37",,,46,1,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3047,07/10/2022,3685,,A,WL021,3,WammaLab Pendulum Pointer,$97.831373,15%,$249.47,,,Purchase; Laboratorio de Resbaladicidad SL- Invoice dated 11/07/2022. $9.02 Freight Surcharge from the bank,,N-T,$0.00,$9.02,N-T,$0.00,B,,,5,1,30,0,"$6,628.37",,,45,3,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3047,07/10/2022,3685,,A,WL018,3,WammaLab Pointer Ring,$105.360784,15%,$268.67,,,Purchase; Laboratorio de Resbaladicidad SL- Invoice dated 11/07/2022. $9.02 Freight Surcharge from the bank,,N-T,$0.00,$9.02,N-T,$0.00,B,,,5,1,30,0,"$6,628.37",,,26,3,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3047,07/10/2022,3685,,A,WL019,1,Pendulum Head Pivot,$537.552941,15%,$456.92,,,Purchase; Laboratorio de Resbaladicidad SL- Invoice dated 11/07/2022. $9.02 Freight Surcharge from the bank,,N-T,$0.00,$9.02,N-T,$0.00,B,,,5,1,30,0,"$6,628.37",,,1,1,Location1,*None,4684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3065,13/10/2022,3703,,A,WL001,1,WammaLab Pendulum,"$5,825.71",0%,"$5,825.71",,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$0.00,N-T,$0.00,B,,,5,1,30,0,"$5,825.71",,,46,1,Location1,*None,4684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMegaStore,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3091,27/10/2022,,,A,WC022,4,Nevr-Dull Wadding Polish,$25.8875,0%,$103.55,,,Purchase; AutoMegaStore,,GST,$10.36,$0.00,GST,$0.00,B,,,5,1,30,0,$113.91,,,7,4,Location1,*None,4405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Works,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3098,31/10/2022,603641548,,P,WC005,1,Packaging- Bubble Wrap,$24.89,0%,$24.89,,,Purchase; Office Works,,GST,$2.49,$0.00,GST,$0.00,B,,,5,1,30,0,$27.38,,,1,1,Location1,*None,3520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithers MSE Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3108,03/11/2022,18562,,A,TC001,35,Slider 96 (4S) Rubber Sliders,$65.82,0%,"$2,303.7",,,Purchase; Smithers MSE Limited,,N-T,$0.00,$54.28,N-T,$0.00,B,,,5,1,30,0,"$2,621.26",,,989,35,Location1,*None,2522
Smithers MSE Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3108,03/11/2022,18562,,A,TC002,4,Slider 55 (TRL) Rubber Slider,$65.82,0%,$263.28,,,Purchase; Smithers MSE Limited,,N-T,$0.00,$54.28,N-T,$0.00,B,,,5,1,30,0,"$2,621.26",,,397,4,Location1,*None,2522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3129,08/11/2022,,,P,GA020,3,Flat Bed Trolley,$48.616667,0%,$145.85,,,Purchase; Bunnings Warehouse,,GST,$14.59,$0.00,GST,$0.00,B,,,5,1,30,0,$212.62,,,3,3,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3129,08/11/2022,,,P,WC002,1,Packaging- Scotch Tape,$27.26,0%,$27.26,,,Purchase; Bunnings Warehouse,,GST,$2.72,$0.00,GST,$0.00,B,,,5,1,30,0,$212.62,,,3,1,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3129,08/11/2022,,,P,WC001,1,Superglue- Powerflex Gel Contr,$6.27,0%,$6.27,,,Purchase; Bunnings Warehouse,,GST,$.63,$0.00,GST,$0.00,B,,,5,1,30,0,$212.62,,,11,1,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3129,08/11/2022,,,P,GA008,3,Trolly Base Cups - Large,$2.59,0%,$7.77,,,Purchase; Bunnings Warehouse,,GST,$.78,$0.00,GST,$0.00,B,,,5,1,30,0,$212.62,,,12,3,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3129,08/11/2022,,,P,GA022,3,Wet Floor Sign,$2.046667,0%,$6.14,,,Purchase; Bunnings Warehouse,,GST,$.61,$0.00,GST,$0.00,B,,,5,1,30,0,$212.62,,,5,3,Location1,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independent Slip Testing Services Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3148,13/11/2022,2494,,A,M019,1,Pendulum Bullseye Level,$28.96,0%,$28.96,,,Purchase; Independent Slip Testing Services Limited NZ foregin exchange NZ$1.0192. $8.14 dollars on shipping is fee charged from the bank,,N-T,$0.00,$7.4,GST,$.74,B,,,5,1,30,0,$371.61,,,6,1,Location1,ISTS NZ,4713
Independent Slip Testing Services Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3148,13/11/2022,2494,,A,M023,4,Munro Pendulum Felt Friction R,$7.13,0%,$28.52,,,Purchase; Independent Slip Testing Services Limited NZ foregin exchange NZ$1.0192. $8.14 dollars on shipping is fee charged from the bank,,N-T,$0.00,$7.4,GST,$.74,B,,,5,1,30,0,$371.61,,,72,4,Location1,ISTS NZ,4713
Independent Slip Testing Services Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3148,13/11/2022,2494,,A,M026,1,Pointer Adjustment Strike,$90.29,0%,$90.29,,,Purchase; Independent Slip Testing Services Limited NZ foregin exchange NZ$1.0192. $8.14 dollars on shipping is fee charged from the bank,,N-T,$0.00,$7.4,GST,$.74,B,,,5,1,30,0,$371.61,,,4,1,Location1,ISTS NZ,4713
Independent Slip Testing Services Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3148,13/11/2022,2494,,A,M033,1,Munro Pendulum Slider Pin,$4.22,0%,$4.22,,,Purchase; Independent Slip Testing Services Limited NZ foregin exchange NZ$1.0192. $8.14 dollars on shipping is fee charged from the bank,,N-T,$0.00,$7.4,GST,$.74,B,,,5,1,30,0,$371.61,,,8,1,Location1,ISTS NZ,4713
Independent Slip Testing Services Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3148,13/11/2022,2494,,A,M034,1,Munro Pendulum Slider Spring,$18.15,0%,$18.15,,,Purchase; Independent Slip Testing Services Limited NZ foregin exchange NZ$1.0192. $8.14 dollars on shipping is fee charged from the bank,,N-T,$0.00,$7.4,GST,$.74,B,,,5,1,30,0,$371.61,,,8,1,Location1,ISTS NZ,4713
Independent Slip Testing Services Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3148,13/11/2022,2494,,A,M037,1,Pendulum Tool Kit,$110.87,0%,$110.87,,,Purchase; Independent Slip Testing Services Limited NZ foregin exchange NZ$1.0192. $8.14 dollars on shipping is fee charged from the bank,,N-T,$0.00,$7.4,GST,$.74,B,,,5,1,30,0,$371.61,,,2,1,Location1,ISTS NZ,4713
Independent Slip Testing Services Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3148,13/11/2022,2494,,A,M028,1,Pendulum Carry Handle,$82.46,0%,$82.46,,,Purchase; Independent Slip Testing Services Limited NZ foregin exchange NZ$1.0192. $8.14 dollars on shipping is fee charged from the bank,,N-T,$0.00,$7.4,GST,$.74,B,,,5,1,30,0,$371.61,,,9,1,Location1,ISTS NZ,4713
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithers MSE Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3136,18/11/2022,18606,,P,TC001,30,Slider 96 (4S) Rubber Sliders,$72.26,0%,"$2,167.8",,,Purchase; Smithers MSE Limited,,N-T,$0.00,$56.37,N-T,$0.00,B,,,5,1,30,0,"$2,224.17",,,989,30,Location1,*None,2522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3139,22/11/2022,3742,,A,WL001,1,WammaLab Pendulum,"$5,857.5",0%,"$5,857.5",,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$0.00,N-T,$0.00,B,,,5,1,30,0,"$6,331.6",,,46,1,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3139,22/11/2022,3742,,A,TC010,3,Verif WL Pavigress Tile,$159.380392,15%,$406.42,,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$0.00,N-T,$0.00,B,,,5,1,30,0,"$6,331.6",,,14,3,Location1,*None,4684
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3139,22/11/2022,3742,,A,WL050,4,Pendulum Flight case,$16.92,0%,$67.68,,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$0.00,N-T,$0.00,B,,,5,1,30,0,"$6,331.6",,,0,4,Location1,*None,4684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QM Systems Ltd,,QM Systems Ltd,Manor Park Industrial Estate,Wyndham Street Aldershot,Hampshire  GU12 4NZ,X,3183,01/12/2022,10505,,P,WSX005,10,Wessex Tortus Slider Foot,$95.550588,15%,$812.18,,,Purchase; Wessex Precision Instruments Limited,,N-T,$0.00,$87.77,N-T,$0.00,B,,,5,1,30,0,$899.95,,,23,10,Location1,Wessex,2088
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Works,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3204,02/12/2022,1000785496,,P,GA006,5,Onsite Testing Ruler 15cm SS,$4.272,0%,$21.36,,,Purchase; Office Works,,GST,$2.14,$0.00,GST,$0.00,B,,,5,1,30,0,$23.5,,,11,5,Location1,*None,3520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archive Boxes Australia,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3174,08/12/2022,5826,,P,WC026,20,Administration Archive Box,$11.7725,0%,$235.45,,,Purchase; Archive Boxes Australia,,GST,$23.55,$29.96,GST,$2.99,B,,,5,1,30,0,$291.95,,,14,20,Location1,*None,5843
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3202,16/12/2022,,,P,GA003,12,Dry Testing Microfibre Cloth,$1.3625,0%,$16.35,,,Purchase; Bunnings Warehouse,,GST,$1.63,$0.00,GST,$0.00,B,,,5,1,30,0,$17.98,,,13,12,Location1,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Tools,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3199,19/12/2022,47570,,P,GA023,1,Digital Site Level,$153.64,0%,$153.64,,,Purchase; Total Tools,,GST,$15.36,$0.00,GST,$0.00,B,,,5,1,30,0,$169,,,3,1,Location1,*None,3635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3200,19/12/2022,,,P,GA004,1,Doorstop,$1.59,0%,$1.59,,,Purchase; Bunnings Warehouse,,GST,$.16,$0.00,GST,$0.00,B,,,5,1,30,0,$1.75,,,5,1,Location1,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3216,28/12/2022,,,P,WC024,2,Spray Glue,$18.175,0%,$36.35,,,Purchase; Bunnings Warehouse,,GST,$3.63,$0.00,GST,$0.00,B,,,5,1,30,0,$72.95,,,2,2,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3216,28/12/2022,,,P,GA026,7,Spray Bottle,$4.054286,0%,$28.38,,,Purchase; Bunnings Warehouse,,GST,$2.84,$0.00,GST,$0.00,B,,,5,1,30,0,$72.95,,,6,7,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3216,28/12/2022,,,P,GA004,1,Doorstop,$1.59,0%,$1.59,,,Purchase; Bunnings Warehouse,,GST,$.16,$0.00,GST,$0.00,B,,,5,1,30,0,$72.95,,,5,1,Location1,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Works,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3221,28/12/2022,,,P,GA006,10,Onsite Testing Ruler 15cm SS,$1.809,0%,$18.09,,,Purchase; Office Works,,GST,$1.81,$0.00,GST,$0.00,B,,,5,1,30,0,$19.9,,,11,10,Location1,*None,3520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithers MSE Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3238,11/01/2023,18651,,P,TC001,40,Slider 96 (4S) Rubber Sliders,$75.2,0%,"$3,008",,,Purchase; Smithers MSE Limited,,N-T,$0.00,$65.49,N-T,$0.00,B,,,5,1,30,0,"$3,073.49",,,989,40,Location1,*None,2522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northside Cleaning and Packaging Supplies,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3244,12/01/2023,62630,,P,GA024,6,Telescopic Mop Handle,$9.8,0%,$58.8,,,Purchase; Northside Cleaning and Packaging Supplies,,GST,$5.88,$10.5,GST,$1.05,B,,,5,1,30,0,$76.23,,,5,6,Location1,*None,5152
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office Works,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3247,12/01/2023,,,P,WC006,50,Pack-Small Snap Lock Bag40x50M,$.027,0%,$1.35,,,Purchase; Office Works,,GST,$.14,$0.00,GST,$0.00,B,,,5,1,30,0,$8.4,,,50,50,Location1,*None,3520
Office Works,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3247,12/01/2023,,,P,WC009,25,Pack-XL  Snap Lock Bag A4,$.2516,0%,$6.29,,,Purchase; Office Works,,GST,$.62,$0.00,GST,$0.00,B,,,5,1,30,0,$8.4,,,156,25,Location1,*None,3520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3266,22/01/2023,8164/09664279,,P,WC014,60,Microfibre Clean Cloth- Multic,$.4545,0%,$27.27,,,Purchase; Bunnings Warehouse,,GST,$2.73,$0.00,GST,$0.00,B,,,5,1,30,0,$40,,,400,60,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3266,22/01/2023,8164/09664279,,P,WC015,20,Microfibre Cleaning Cloth-Blue,$.4545,0%,$9.09,,,Purchase; Bunnings Warehouse,,GST,$.91,$0.00,GST,$0.00,B,,,5,1,30,0,$40,,,0,20,Location1,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laboratorio de Resbaladicidad SL,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3261,23/01/2023,3819,,A,WL001,1,WammaLab Pendulum,"$5,893.2",0%,"$5,893.2",,,Purchase; Laboratorio de Resbaladicidad SL,,N-T,$0.00,$0.00,N-T,$0.00,B,,,5,1,30,0,"$5,893.2",,,46,1,Location1,*None,4684
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AutoMegaStore,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3264,24/01/2023,,,P,TC005,10,Verif -P400 Paper(Pack of 10),$11.812,0%,$118.12,,,Purchase; AutoMegaStore,,GST,$11.81,$0.00,GST,$0.00,B,,,5,1,30,0,$129.93,,,78,10,Location1,*None,4405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithers MSE Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3282,01/02/2023,18674,,P,TC001,15,Slider 96 (4S) Rubber Sliders,$72.93,0%,"$1,093.95",,,Purchase; Smithers MSE Limited,,N-T,$0.00,$63.56,N-T,$0.00,B,,,5,1,30,0,"$2,616.11",,,989,15,Location1,*None,2522
Smithers MSE Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3282,01/02/2023,18674,,P,TC002,20,Slider 55 (TRL) Rubber Slider\r\n,$72.93,0%,"$1,458.6",,,Purchase; Smithers MSE Limited,,N-T,$0.00,$63.56,N-T,$0.00,B,,,5,1,30,0,"$2,616.11",,,397,20,Location1,*None,2522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tork Signs,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3292,02/02/2023,INV-11475,,P,P011,168,Sticker-GPC Sample,$2.05,0%,$344.4,,,Purchase; Tork Signs,,GST,$34.44,$20,GST,$2,B,,,5,1,30,0,$400.84,,,153,168,Location1,*None,2810
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tork Signs,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3293,02/02/2023,INV-11482,,P,P009,10,Sticker- Wet Floor Sign,$12.31,0%,$123.1,,,Purchase; Tork Signs,,GST,$12.31,$0.00,GST,$0.00,B,,,5,1,30,0,$135.41,,,8,10,Location1,*None,2810
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3312,04/02/2023,8164/09481631,,P,WC015,20,Microfibre Cleaning Cloth-Blue,$.4545,0%,$9.09,,,Purchase; Bunnings Warehouse,,GST,$.91,$0.00,GST,$0.00,B,,,5,1,30,0,$29.05,,,0,20,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3312,04/02/2023,8164/09481631,,P,WC014,20,Microfibre Clean Cloth- Multic,$.4545,0%,$9.09,,,Purchase; Bunnings Warehouse,,GST,$.91,$0.00,GST,$0.00,B,,,5,1,30,0,$29.05,,,400,20,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3312,04/02/2023,8164/09481631,,P,TC013,1,Double Sided Tape-Control Test,$8.663158,5%,$8.23,,,Purchase; Bunnings Warehouse,,GST,$.82,$0.00,GST,$0.00,B,,,5,1,30,0,$29.05,,,10,1,Location1,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3301,06/02/2023,,,P,TC013,12,Double Sided Tape-Control Test,$8.663333,0%,$103.96,,,Purchase; Bunnings Warehouse,,GST,$10.4,$0.00,GST,$0.00,B,,,5,1,30,0,$176.08,,,10,12,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3301,06/02/2023,,,P,GA003,9,Dry Testing Microfibre Cloth,$.908889,0%,$8.18,,,Purchase; Bunnings Warehouse,,GST,$.81,$0.00,GST,$0.00,B,,,5,1,30,0,$176.08,,,13,9,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3301,06/02/2023,,,P,GA026,4,Spray Bottle,$4.0525,0%,$16.21,,,Purchase; Bunnings Warehouse,,GST,$1.63,$0.00,GST,$0.00,B,,,5,1,30,0,$176.08,,,6,4,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3301,06/02/2023,,,P,GA008,9,Trolly Base Cups - Large,$2.845556,0%,$25.61,,,Purchase; Bunnings Warehouse,,GST,$2.56,$0.00,GST,$0.00,B,,,5,1,30,0,$176.08,,,12,9,Location1,*None,3501
Bunnings Warehouse,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,3301,06/02/2023,,,P,GA007,3,Trolly Base Cups-Small,$2.036667,0%,$6.11,,,Purchase; Bunnings Warehouse,,GST,$.61,$0.00,GST,$0.00,B,,,5,1,30,0,$176.08,,,12,3,Location1,*None,3501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
