Co./Last Name,First Name,Addr 1 - Line 1,Addr 1 - Line 2,Addr 1 - Line 3,Addr 1 - Line 4,Inclusive,Purchase No.,Date,Supplier Invoice No.,Ship Via,Delivery Status,Item Number,Quantity,Description,Price,Discount,Total,Job,Comment,Journal Memo,Shipping Date,Tax Code,Tax Amount,Freight Amount,Freight Tax Code,Freight Tax Amount,Purchase Status,Currency Code,Exchange Rate,Terms - Payment is Due,           - Discount Days,           - Balance Due Days,           - % Discount,Amount Paid,Category,Order,Received,Billed,Location ID,Card ID,Record ID
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wynnum Bearings and Bolts,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2330,12/08/2021,102003891,,P,ZZZ1118,10,Munro Pendulum Bearing,$16.182,0%,$161.82,,,Purchase; Wynnum Bearings and Bolts,,GST,$16.18,$0.00,GST,$0.00,B,,,5,1,30,0,$256.3,,,0,10,Location1,*None,3500
Wynnum Bearings and Bolts,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2330,12/08/2021,102003891,,P,ZZZ146,10,Pendulum Foot Bearing,$7.118,0%,$71.18,,,Purchase; Wynnum Bearings and Bolts,,GST,$7.12,$0.00,GST,$0.00,B,,,5,1,30,0,$256.3,,,0,10,Location1,*None,3500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northside Cleaning and Packaging Supplies,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2337,17/08/2021,,,P,ZZZ312,2,Telescopic Mop Handle,$8.9,0%,$17.8,,,Purchase; Northside Cleaning and Packaging Supplies,,GST,$1.78,$0.00,GST,$0.00,B,,,5,1,30,0,$19.58,,,-5,2,Location1,*None,5152
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS Components Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2338,17/08/2021,,,P,ZZZ135,20,Levelling Feet Screw Knob,$7.814,0%,$156.28,,,Purchase; RS Components Pty Ltd- This transaction had to be recorded  the invoice which was not provided and the items were received with this invoice. MYOB doesn't allow to delete or amend this translation,,GST,$15.63,$0.00,GST,$0.00,B,,,5,1,30,0,$171.91,,,2,20,Location1,*None,3881
RS Components Pty Ltd,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2338,17/08/2021,,,P,ZZZ135,0,Levelling Feet Screw Knob,$0.00,0%,$0.00,,,Purchase; RS Components Pty Ltd- This transaction had to be recorded  the invoice which was not provided and the items were received with this invoice. MYOB doesn't allow to delete or amend this translation,,GST,$0.00,$0.00,GST,$0.00,B,,,5,1,30,0,$171.91,,,2,0,Location1,*None,3881
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Munro Instruments Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2374,03/09/2021,11286,,A,ZZZ1122,6,Munro Handle SA,$84.04,0%,$504.24,,,Purchase; Munro Instruments Limited,,N-T,$0.00,$75.36,N-T,$0.00,B,,,5,1,30,0,"$3,165.87",,,6,6,Location1,*None,3473
Munro Instruments Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2374,03/09/2021,11286,,A,ZZZ1135,9,Munro Pendulum Levelling Screw,$110.5,0%,$994.5,,,Purchase; Munro Instruments Limited,,N-T,$0.00,$75.36,N-T,$0.00,B,,,5,1,30,0,"$3,165.87",,,18,9,Location1,*None,3473
Munro Instruments Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2374,03/09/2021,11286,,A,ZZZ1123,9,Munro Levelling Screw,$73.67,0%,$663.03,,,Purchase; Munro Instruments Limited,,N-T,$0.00,$75.36,N-T,$0.00,B,,,5,1,30,0,"$3,165.87",,,2,9,Location1,*None,3473
Munro Instruments Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2374,03/09/2021,11286,,A,ZZZ1125,1,Munro Spring Tension Assembly,$117.1,0%,$117.1,,,Purchase; Munro Instruments Limited,,N-T,$0.00,$75.36,N-T,$0.00,B,,,5,1,30,0,"$3,165.87",,,6,1,Location1,*None,3473
Munro Instruments Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2374,03/09/2021,11286,,A,ZZZ1109,4,Munro Tension Spring Assembly,$37.85,0%,$151.4,,,Purchase; Munro Instruments Limited,,N-T,$0.00,$75.36,N-T,$0.00,B,,,5,1,30,0,"$3,165.87",,,0,4,Location1,*None,3473
Munro Instruments Limited,,Independent Slip Testing Services,PO Box 777,Wynnum   Queensland   4178,Australia,X,2374,03/09/2021,11286,,A,ZZZ1136,6,Munro Rack,$110.04,0%,$660.24,,,Purchase; Munro Instruments Limited,,N-T,$0.00,$75.36,N-T,$0.00,B,,,5,1,30,0,"$3,165.87",,,0,6,Location1,*None,3473
