*ContactName,EmailAddress,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,TrackingOption1,TrackingName2,TrackingOption2,Currency,Exchange Rate
Empire Accountants,,,,,,,,,,4449.0,,30/09/2024,30/09/2024,,,Monthly fixed agreement FY 2024/2025,1,"1,710",,60008.0,GST on Expenses,171,Job,,,,,
Empire Accountants,,,,,,,,,,4449.0,,30/09/2024,30/09/2024,,,Bank surcharge,1,1.9,,60008.0,BAS Excluded,0.00,Job,,,,,
Motorpass,,,,,,,,,,4453.0,,30/09/2024,30/09/2024,,,Fuel all cars September 2024,1,"2,865.65",,62001.0,GST on Expenses,286.57,Job,,,,,
Rapid Global,,,,,,,,,,4463.0,,30/09/2024,30/09/2024,,,Induction Savills Joshua Warren,1,30,,60101.0,GST on Expenses,3,Job,,,,,
Northside Cleaning and Packaging Supplies,,,,,,,,,,4466.0,,30/09/2024,30/09/2024,,,Refund from this supplier as they were unable to provide the mop handles ordered in August 2024,1,-144.35,,61708.0,BAS Excluded,0.00,Job,,,,,
Nifty Group Pty Ltd,,,,,,,,,,4446.0,,01/10/2024,01/10/2024,,,Nifty IT Secure Cloud Backup plan,1,80.91,,61001.0,GST on Expenses,8.09,Job,,,,,
SLH Mowing ,,,,,,,,,,4447.0,,01/10/2024,01/10/2024,,,Backyard garden,1,195.45,,61107.0,GST on Expenses,19.55,Job,,,,,
Citygreen,,,,,,,,,,4448.0,,01/10/2024,01/10/2024,,,Indoor plant maintenance,1,70.45,,61107.0,GST on Expenses,7.05,Job,,,,,
Custom House Furniture Pty Ltd,,,,,,,,,,4450.0,,01/10/2024,01/10/2024,,,New dining table at the recreation area in Lota 50% (Initial instalment),1,"1,935",,13330.0,BAS Excluded,193.5,Job,,,,,
MYOB Australia Pty Ltd,,,,,,,,,,4456.0,,01/10/2024,01/10/2024,,,MYOB monthly subscription,1,160.91,,60017.0,GST on Expenses,16.09,Job,,,,,
