Date,Bank,Reference,Amount,Invoice No,Exchange
19/10/2022,11111,CR006879-574,8757.42,10396,
19/10/2022,11111,CR006879-575,8757.42,10375,
19/10/2022,11111,CR006879-576,897.74,10395,
19/10/2022,11111,CR006879-577,1096.3,10376,
24/10/2024,21100,CR007346-578,62920.0,10861,
8/3/2023,21100,CR006970-579,64372.0,10518,
31/5/2023,11111,CR007005-580,660.0,10558,
31/5/2023,11111,CR007005-581,7873.25,10559,
31/5/2023,11111,CR007005-582,57024.0,10557,
7/6/2023,21100,CR007008-583,68474.24,10563,
5/3/2025,21100,CR007453-584,20240.0,10946,
5/3/2025,21100,CR007453-585,18848.5,10940,
5/3/2025,21100,CR007453-586,4807.0,10941,
5/3/2025,21100,CR007453-587,3668.5,10937,
5/3/2025,21100,CR007453-588,8222.5,10929,
5/3/2025,21100,CR007453-589,12903.0,10936,
8/12/2022,21100,CR006916-590,68996.64,10465,
7/9/2023,21100,CR007063-591,70840.0,10610,
16/5/2023,21100,CR007001-592,74778.0,10548,
1/4/2025,21100,CR007465-593,27281.1,10930,
1/4/2025,21100,CR007465-594,26372.5,10954,
1/4/2025,21100,CR007465-595,24255.0,10927,
12/7/2023,21100,CR007027-596,82822.74,10580,
17/10/2023,11111,CR007073-597,8757.42,10641,
17/10/2023,11111,CR007073-598,13661.35,10644,
17/10/2023,11111,CR007073-599,3000.4,10643,
17/10/2023,11111,CR007073-600,324.14,10642,
17/10/2023,11111,CR007073-601,8757.42,10623,
17/10/2023,11111,CR007073-602,39542.35,10626,
17/10/2023,11111,CR007073-603,8770.4,10625,
17/10/2023,11111,CR007073-604,441.82,10624,
19/12/2023,11111,CR007117-605,84709.94,10660,
28/12/2022,11111,CR006931-606,84741.62,10482,
13/2/2025,11111,CR007433-607,90804.13,10917,
28/8/2024,11111,CR007295-608,28526.05,10824,
28/8/2024,11111,CR007295-609,52306.46,10828,
28/8/2024,11111,CR007295-610,18874.5,10811,
5/6/2024,11111,CR007231-611,79364.87,10760,
5/6/2024,11111,CR007231-612,25646.17,10755,
21/3/2023,21100,CR006977-613,127974.0,10525,
8/8/2023,21100,CR007049-614,133392.02,10587,
4/8/2023,21100,CR007047-615,136704.24,10588,
8/6/2023,21100,CR007010-616,138204.0,10564,
31/7/2023,21100,CR007044-617,140976.0,10602,
4/7/2023,21100,CR007025-618,216480.0,10586,
7/9/2023,21100,CR007064-619,222308.93,10611,
5/4/2023,21100,CR006987-620,247764.0,10540,
30/3/2023,21100,CR006979-621,255948.0,10535,
12/5/2023,21100,CR006998-622,260172.0,10553,
