Date,Bank,Reference,Amount,Invoice No,Exchange
16/8/2023,21100,CR007051-333,3082.2,10594,
16/8/2023,21100,CR007051-334,2923.8,10585,
16/8/2023,21100,CR007051-335,2984.3,10583,
16/8/2023,21100,CR007051-336,3004.1,10584,
1/7/2024,21100,CR007250-337,23100.0,10792,
2/8/2024,21100,CR007281-338,23210.0,10800,
4/10/2024,21100,CR007335-339,23285.35,10847,
3/8/2022,21100,CR006817-340,12727.0,10386,
3/8/2022,21100,CR006817-341,10626.0,10385,
5/3/2024,11111,CR007166-342,23496.0,10697,
14/8/2024,21100,CR007288-343,24311.67,10794,
30/12/2022,21100,CR006932-344,24486.0,10473,
7/9/2022,21100,CR006846-345,25169.22,10412,
18/10/2023,21100,CR007075-346,8439.75,10630,
18/10/2023,21100,CR007075-347,3041.5,10621,
18/10/2023,21100,CR007075-348,3030.5,10622,
18/10/2023,21100,CR007075-349,3030.5,10620,
18/10/2023,21100,CR007075-350,4730.85,10618,
18/10/2023,21100,CR007075-351,3025.0,10619,
24/12/2024,21100,CR007399-352,25300.0,10898,
2/4/2025,21100,CR007470-353,25932.5,10967,
7/10/2022,21100,CR006871-354,12474.0,10444,
7/10/2022,21100,CR006871-355,13738.7,10428,
3/9/2024,21100,CR007301-356,3410.0,10816,
3/9/2024,21100,CR007301-357,15125.0,10832,
3/9/2024,21100,CR007301-358,7843.0,10810,
3/4/2024,21100,CR007185-359,26431.58,10700,
4/4/2023,21100,CR006985-360,27602.3,10528,
16/8/2022,11170,CR006825-361,27720.0,10383,
5/7/2024,21100,CR007258-362,27720.0,10769,
30/8/2024,21100,CR007296-363,27720.0,10813,
18/1/2023,21100,CR006943-364,28591.2,10480,
11/11/2024,21100,CR007365-365,28600.0,10886,
29/12/2023,11111,CR007123-366,28694.19,10662,
31/1/2025,21100,CR007423-367,20893.92,10933,
31/1/2025,21100,CR007423-368,8140.0,10932,
8/7/2022,21100,CR006784-369,29040.0,10361,
16/9/2024,21100,CR007317-370,29700.0,10814,
1/7/2022,11170,CR006772-371,21945.0,10340,
1/7/2022,11170,CR006772-372,8200.5,10319,
16/11/2023,11111,CR007096-373,15787.39,10659,
16/11/2023,11111,CR007096-374,6000.8,10654,
16/11/2023,11111,CR007096-375,441.82,10653,
16/11/2023,11111,CR007096-376,8757.42,10652,
5/6/2024,21100,CR007230-377,25410.0,10748,
5/6/2024,21100,CR007230-378,6105.0,10738,
17/12/2024,21100,CR007390-379,21663.13,10899,
17/12/2024,21100,CR007390-380,379.5,10900,
17/12/2024,21100,CR007390-381,9614.0,10878,
21/2/2025,21100,CR007440-382,2695.0,10947,
21/2/2025,21100,CR007440-383,9824.1,10948,
21/2/2025,21100,CR007440-384,19197.29,10942,
30/9/2022,11111,CR006863-385,231.0,10430,
30/9/2022,11111,CR006863-386,26928.0,10431,
30/9/2022,11111,CR006863-387,4774.0,10429,
1/7/2024,11111,CR007251-388,32274.0,10764,
21/7/2022,11111,CR006800-389,770.0,10373,
21/7/2022,11111,CR006800-390,3811.5,10372,
21/7/2022,11111,CR006800-391,1056.0,10371,
21/7/2022,11111,CR006800-392,26664.0,10370,
27/3/2024,11111,CR007178-393,32362.09,10721,
4/2/2025,21100,CR007427-394,10879.0,10924,
4/2/2025,21100,CR007427-395,9740.5,10923,
4/2/2025,21100,CR007427-396,3984.75,10914,
4/2/2025,21100,CR007427-397,7779.75,10903,
3/12/2024,21100,CR007377-398,8690.0,10873,
3/12/2024,21100,CR007377-399,4400.0,10877,
3/12/2024,21100,CR007377-400,19360.0,10870,
14/5/2024,11111,CR007217-401,5539.2,10747,
14/5/2024,11111,CR007217-402,294.72,10746,
14/5/2024,11111,CR007217-403,8757.42,10745,
14/5/2024,11111,CR007217-404,18000.0,10741,
28/10/2022,11111,CR006881-405,8643.25,10455,
28/10/2022,11111,CR006881-406,1320.0,10454,
28/10/2022,11111,CR006881-407,22968.0,10453,
1/5/2023,11111,CR006995-408,32946.46,10552,
23/11/2023,21100,CR007098-409,32986.32,10648,
29/3/2024,21100,CR007181-410,33216.78,10710,
27/11/2023,11111,CR007104-411,33264.0,10649,
27/9/2024,21100,CR007326-412,33481.25,10836,
26/7/2024,11111,CR007274-413,33880.0,10802,
13/5/2024,21100,CR007215-414,34320.0,10702,
31/12/2024,21100,CR007400-415,34320.0,10922,
11/4/2025,21100,CR007478-416,34320.0,10985,
9/5/2024,21100,CR007211-417,35326.5,10742,
5/4/2024,11111,CR007187-418,35376.0,10715,
22/7/2022,21100,CR006802-419,18936.5,10366,
22/7/2022,21100,CR006802-420,7920.0,10367,
22/7/2022,21100,CR006802-421,9317.0,10365,
2/5/2024,21100,CR007203-422,26730.0,10730,
2/5/2024,21100,CR007203-423,10175.0,10722,
27/12/2023,11111,CR007121-424,36960.0,10669,
3/5/2024,21100,CR007205-425,36960.0,10732,
1/10/2024,21100,CR007329-426,37125.0,10838,
3/4/2024,21100,CR007184-427,37644.68,10711,
31/1/2024,21100,CR007141-428,38280.0,10677,
13/9/2024,11111,CR007312-429,25877.65,10846,
13/9/2024,11111,CR007312-430,2907.84,10845,
13/9/2024,11111,CR007312-431,531.99,10844,
13/9/2024,11111,CR007312-432,9814.35,10843,
7/4/2025,21100,CR007474-433,39136.97,10961,
20/6/2024,21100,CR007241-434,39600.0,10759,
7/1/2025,21100,CR007403-435,28314.0,10897,
7/1/2025,21100,CR007403-436,484.0,10904,
7/1/2025,21100,CR007403-437,10942.25,10891,
13/4/2023,11111,CR006990-438,12127.5,10533,
13/4/2023,11111,CR006990-439,28248.0,10531,
27/11/2024,11111,CR007373-440,40425.56,10880,
17/8/2023,11111,CR007053-441,192.5,10609,
17/8/2023,11111,CR007053-442,8874.25,10608,
17/8/2023,11111,CR007053-443,1188.0,10607,
17/8/2023,11111,CR007053-444,30888.0,10606,
23/2/2024,11111,CR007156-445,4154.4,10696,
23/2/2024,11111,CR007156-446,265.3,10695,
23/2/2024,11111,CR007156-447,8757.42,10694,
23/2/2024,11111,CR007156-448,28996.8,10691,
14/1/2025,21100,CR007408-449,21505.0,10909,
14/1/2025,21100,CR007408-450,20746.0,10902,
18/10/2023,11111,CR007076-451,36696.0,10639,
