Item Number,Item Name,Inventory,Asset Acct,Income Acct,Expense/COS Acct,Description,Selling Price,Sell Unit Measure,Tax Code When Sold,Sell Price Inclusive,Sales Tax Calc. Method,No. Items/Sell Unit,Quantity Break 1,Quantity Break 2,Quantity Break 3,Quantity Break 4,Quantity Break 5,"Price Level A, Qty Break 1","Price Level B, Qty Break 1","Price Level C, Qty Break 1","Price Level D, Qty Break 1","Price Level E, Qty Break 1","Price Level F, Qty Break 1","Price Level A, Qty Break 2","Price Level B, Qty Break 2","Price Level C, Qty Break 2","Price Level D, Qty Break 2","Price Level E, Qty Break 2","Price Level F, Qty Break 2","Price Level A, Qty Break 3","Price Level B, Qty Break 3","Price Level C, Qty Break 3","Price Level D, Qty Break 3","Price Level E, Qty Break 3","Price Level F, Qty Break 3","Price Level A, Qty Break 4","Price Level B, Qty Break 4","Price Level C, Qty Break 4","Price Level D, Qty Break 4","Price Level E, Qty Break 4","Price Level F, Qty Break 4","Price Level A, Qty Break 5","Price Level B, Qty Break 5","Price Level C, Qty Break 5","Price Level D, Qty Break 5","Price Level E, Qty Break 5","Price Level F, Qty Break 5",Inactive Item,Standard Cost,Default Ship/Sell Location,Default Recvd/Auto Location
24-4G63-Idler-Pulley,EP175 Mits Flat Pulley OD90 ID,,,41112,51111,EP175 Mits Flat Pulley OD90 ID10.4 Idler Pulley,99.00,1,GST,X,0,1,0,0,0,0,0,99,99,99,99,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£76.10,,
24-4G63-Idler-Pulley-2,EP075 Daewoo Flat Pulley OD70 ,,,41112,51111,EP075 Daewoo Flat Pulley OD70 ID17 Idler Pulley,41.00,1,GST,X,0,1,0,0,0,0,0,41,99,99,99,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£22.95,,
24-4G63-Belt-Ribbed,6PK915 Autometrik V-Ribbed Gat,,,41112,51111,6PK915 Autometrik V-Ribbed Gates Belt Ribbed Belt,42.00,1,GST,X,0,1,0,0,0,0,0,42,41,41,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£27.59,,
24-4G63-Belt-Ribbed-2,6PK925 Mazda 13BT Volkswagon 1,,,41112,51111,6PK925 Mazda 13BT Volkswagon 1Y AAC Ribbed Belt,42.00,1,GST,X,0,1,0,0,0,0,0,42,42,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£27.61,,
18-SBF-Water-Pump,W809 Ford Cleve Cast Iron Wate,,,41112,51111,W809 Ford Cleve Cast Iron Water Pump,107.00,1,GST,X,0,1,0,0,0,0,0,107,42,42,42,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£79.18,,
18-SBF-Oil-Pump,M-84AHV Ford Cleve Oil Pump,,,41112,51111,,177.00,1,GST,X,0,1,0,0,0,0,0,177,107,107,107,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£132.68,,
18-SBF-Pushrod,"581-7900 Pushrod 4130 5/16"" x ",,,41112,51111,"581-7900 Pushrod 4130 5/16"" x 7.900"" Pushrod Performance",323.00,1,GST,X,0,1,0,0,0,0,0,323,177,177,177,177,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£245.39,,
14-4G63-Rocker-Cover-Set,RC3073K Mitsi Rocker Cover set,,,41112,51111,,139.00,1,GST,X,0,1,0,0,0,0,0,139,323,323,323,323,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£102.14,,
14-4G63-Camshaft-End-Seal,LV647 Mitsi Camshaft End Seal,,,41112,51111,,17.00,1,GST,X,0,1,0,0,0,0,0,17,139,139,139,139,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£7.91,,
26-1HZ-CR-Brg-0.025mm,6B8396H-0.025mm Toyota 1HZ Co,,,41112,51111,6B8396H-0.025mm Toyota 1HZ Conrod Bearing Performance,149.00,1,GST,X,0,1,0,0,0,0,0,149,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,£104.00,,
