Job Number,Job Name,Sub-job of,Header,Description,Contact,Percent Complete,Start Date,Finish Date,Manager,Linked Customer,Inactive Job,Track Reimburseables
MUN400,Vet Science,,D,vet science bldg,,20%,,,Michael McLean,,N,N
JMGSMP,New Job,,D,Salamnca Mews Pool,,0%,,,,,N,N
RA,New Job,,D,,,0%,,,,,N,N
SPARAB,Spark Helmore Lawyers,,D,Raby Bay investigation,,0%,,,IG,,N,N
BLABOO,New Job,,D,,,0%,,,Joel Heath,,N,N
TRAINING,New Job,,D,,,0%,,,,,N,N
MONPEN,Monash Peninsula,,D,"Monash Peninsula - Buildings A, C & S",,5%,24/05/2012,,Michael McLean,Monash University - Peninsula,N,N
ACCAQU,Geelong Aqueduct,,D,,,0%,,,,,N,N
ACCCLOE,Camperdown Clock Tower St,,D,acc offer,,0%,,,,,N,N
ACCMAJJ,Majestic Building Design,,D,ACC,,0%,,,,,N,Y
ACCMIRE,Mirang Ave P.S.,,D,ACC,,0%,,,,,N,Y
ACCSEWE,Sewerage Rising Main,,D,ACC,,0%,,,,,N,Y
AMCPOM,port of melbourne consult,,D,,,0%,,,LT,,N,N
AMOPTW,PT Wilson Jetty,,D,,,0%,,,,,N,N
ASPBLA,Blackwater Mine,,D,,,0%,,,,,N,N
AUBCAL,Calliope West Bridge,,D,,,0%,,,LT,,N,N
AUMARD,Arden st Bridge,,D,,,0%,,,,,N,N
AUSHUN,Hunter Wharf CP,,D,,,0%,,,,,N,N
BENBAT,Make Safe Batman Spencer,,D,,,0%,,,,,N,N
CADFLO,Tulla Floor,,D,,,0%,,,,Cadbury Schweppes,N,N
CITBEN,Bendigo,,D,,,0%,,,BM,,N,N
CMCNEW,Newcastle Dolphins,,D,,,0%,,,IG,,N,N
DURDSB,Dampier Salt - Dry Salt D,,D,,,0%,,,IG,,N,N
DURHAY,726 Hay St CBD Soffit and,,D,,,0%,,,LT,,N,N
EARSWA,Swan Island Bridge,,D,,,0%,,,,,N,N
EDGEDG,"12 Marine Parade, st Kild",,D,,,0%,,,,,N,N
FRBALF,Alfred St Carpark,,D,,,0%,,,IG,,N,N
FRBGEO,George Street,,D,,,0%,,,,,N,N
FRBMED,"Medici Building Slab, Cal",,D,,,0%,,,JH,,N,N
FRSINC,Willoughby Incinerator CP,,D,,,0%,,,LT,,N,N
FRSMAC,Macaulay Road,,D,,,0%,,,,,N,N
FRWPHH,Port Hedland Outer Harbou,,D,,,0%,,,IG,,N,N
GDPSPR,215 Spring At,,D,,,0%,,,LT,GDP Property Services,N,N
GEGFOU,Fountain,,D,,,0%,,,,Geelong Grammar,N,N
GEPCOR,Corio Quay South,,D,,,0%,,,,,N,N
INVPAR,Paramount Orica Site Indu,,D,,,0%,,,,,N,N
JLL565,565 Bourke st investigati,,D,,,0%,,,LT,Jones Lang Lasalle,N,N
JMGLAN,Lands Building,,D,,,0%,,,,,N,N
LCBGEE,Geelong,,D,,,0%,,,,,N,N
LGLMON,papua new guinea gold min,,D,,,0%,,,,,N,N
M&CBOA,Boat Pasage,,D,,,0%,,,,,N,N
M&CCAL,Calliope River Bridge,,D,,,0%,,,,,N,N
M&CCRO,Crown Promenade,,D,,,0%,,,,,N,N
M&CDEE,Deep Creek Bridge,,D,,,0%,,,IG/LT,,N,N
M&CEDE,Eden Harbour New Mooring,,D,,,0%,,,LT,,N,N
M&CHYDA,Hydrographers Pasage,,D,,,0%,,,,,N,N
M&CLYN,Lynches Bridge,,D,,,0%,,,IG,,N,N
M&CMAC,Macauley Road Bridge,,D,,,0%,,,IG,,N,N
M&CNAR,Narrabeen Lake Bridge,,D,,,0%,,,MM,,N,N
M&CSHE,Sheep Wash Bridge,,D,,,0%,,,LT,,N,N
MACGPS,Geelong College Preparato,,D,,,0%,,,IG/JH,,N,N
MATCOW,Cowderoy Street,,D,,,0%,,,,,N,N
MAYHAY,Hay Point CP Caisson,,D,,,0%,,,,,N,N
MCCMOR,Morrell Bridge,,D,,,0%,,,LT,,N,N
MON002,Robert Blackwood Hall bri,,D,,,0%,,,IG/JH,Monash University,N,N
MON063,Building 63 Brick Growth,,D,,,0%,,,IG/JH,Monash University,N,N
MUN1303,Union Building 130 Ceilin,,D,,,0%,,,LT,,N,N
